StationCode,Date,fieldcrew,debriscategory,Parameter,Result,resulttext,comments,downstreamupstream,segmentlength,studytype,statelocation,sccwrp_sites_rowid
Whittier Narrows Nature Center,9/20/2019,"Miranda Roethler, Shelly Moore, Raeann",Plastic,Bag - single use,108,,,Not specified,100 ft,SoCalTally,Southern,39
Rynerson Park South,9/14/2018,Algalita 1,Metal,"Nails, Screws, Bolts, etc.",16,,,Not specified,100 ft,SoCalTally,Southern,25
Rynerson Park South,9/14/2018,Algalita 1,Metal,Small Batteries,5,,,Not specified,100 ft,SoCalTally,Southern,25
Rynerson Park South,9/14/2018,Algalita 1,Metal,Metal Other,23,,,Not specified,100 ft,SoCalTally,Southern,25
Whittier Narrows Nature Center revisit,12/11/2019,Shelly Moore/Miranda Roethler,Plastic,Bag - single use,130,,,Not specified,100 ft,SoCalTally,Southern,40
Whittier Narrows Nature Center revisit,12/11/2019,Shelly Moore/Miranda Roethler,Plastic,Bag Pieces,39,,,Not specified,100 ft,SoCalTally,Southern,40
Whittier Narrows Nature Center revisit,12/11/2019,Shelly Moore/Miranda Roethler,Plastic,Beverage Bottles,7,,,Not specified,100 ft,SoCalTally,Southern,40
Whittier Narrows Nature Center revisit,12/11/2019,Shelly Moore/Miranda Roethler,Plastic,Chip Bags,22,,,Not specified,100 ft,SoCalTally,Southern,40
Whittier Narrows Nature Center revisit,12/11/2019,Shelly Moore/Miranda Roethler,Plastic,Cigarette Butts,3,,,Not specified,100 ft,SoCalTally,Southern,40
Whittier Narrows Nature Center revisit,12/11/2019,Shelly Moore/Miranda Roethler,Plastic,Container Cap/Pieces,2,,,Not specified,100 ft,SoCalTally,Southern,40
Whittier Narrows Nature Center revisit,12/11/2019,Shelly Moore/Miranda Roethler,Plastic,Cups,11,,,Not specified,100 ft,SoCalTally,Southern,40
Rynerson Park South,9/14/2018,Algalita 1,Miscellaneous,Ceramic Pots/Shards,1,,,Not specified,100 ft,SoCalTally,Southern,25
Rynerson Park South,9/14/2018,Algalita 1,Miscellaneous,E-waste,3,,,Not specified,100 ft,SoCalTally,Southern,25
Rynerson Park South,9/14/2018,Algalita 1,Miscellaneous,Rubber/Rubber Pieces,3,,,Not specified,100 ft,SoCalTally,Southern,25
Rynerson Park South,9/14/2018,Algalita 2,Plastic,Balloons,2,,,Not specified,100 ft,SoCalTally,Southern,25
Rynerson Park South,9/14/2018,Algalita 2,Plastic,Beverage Bottles,1,,,Not specified,100 ft,SoCalTally,Southern,25
Rynerson Park South,9/14/2018,Algalita 2,Plastic,Cigarette Butts,5,,,Not specified,100 ft,SoCalTally,Southern,25
Rynerson Park South,9/14/2018,Algalita 2,Plastic,Container Cap/Pieces,2,,,Not specified,100 ft,SoCalTally,Southern,25
Rynerson Park South,9/14/2018,Algalita 2,Plastic,Cups,1,,,Not specified,100 ft,SoCalTally,Southern,25
Rynerson Park South,9/14/2018,Algalita 2,Plastic,Hard Plastic Container,1,,,Not specified,100 ft,SoCalTally,Southern,25
Rynerson Park South,9/14/2018,Algalita 2,Plastic,Hard Plastic Pieces,20,,,Not specified,100 ft,SoCalTally,Southern,25
Rynerson Park South,9/14/2018,Algalita 2,Plastic,Plastic Bottles,1,,,Not specified,100 ft,SoCalTally,Southern,25
Rynerson Park South,9/14/2018,Algalita 2,Plastic,Straw/Stirrer,2,,,Not specified,100 ft,SoCalTally,Southern,25
Rynerson Park South,9/14/2018,Algalita 2,Plastic,Wrapper/Wrapper Pieces,4,,,Not specified,100 ft,SoCalTally,Southern,25
Rynerson Park South,9/14/2018,Algalita 2,Plastic,Plastic Other,4,,2 of these are pieces of tape,Not specified,100 ft,SoCalTally,Southern,25
Rynerson Park South,9/14/2018,Algalita 2,Fabric and Cloth,Synthetic Fabric,1,,,Not specified,100 ft,SoCalTally,Southern,25
Rynerson Park South,9/14/2018,Algalita 2,Fabric and Cloth,Fabric Other,2,,,Not specified,100 ft,SoCalTally,Southern,25
Rynerson Park South,9/14/2018,Algalita 2,Large,Furniture/Appliances,1,,tv,Not specified,100 ft,SoCalTally,Southern,25
Rynerson Park South,9/14/2018,Algalita 2,Biodegradable,Food Waste,2,,,Not specified,100 ft,SoCalTally,Southern,25
Rynerson Park South,9/14/2018,Algalita 2,Biodegradable,Paper/ cardboard,6,,,Not specified,100 ft,SoCalTally,Southern,25
